OrderID,Date,Category,Region,Quantity,UnitPrice,SalesAmount,TargetSales
50,2025-12-14,Books,West,3,117,351,2215
51,2024-08-10,Electronics,North,6,49,294,1205
52,2025-08-21,Sports,South,1,280,280,1328
53,2024-07-09,Electronics,North,4,226,904,1491
54,2025-08-06,Furniture,North,10,61,610,2717
55,2025-11-04,Books,East,5,124,620,3743
56,2024-11-17,Furniture,East,7,87,609,3751
57,2025-10-22,Clothing,West,6,495,2970,4079
58,2024-03-15,Electronics,West,10,308,3080,1409
59,2024-03-16,Books,South,9,155,1395,1542
60,2024-12-23,Electronics,South,6,165,990,1646
61,2025-03-24,Books,East,10,433,4330,3678
62,2025-06-25,Electronics,East,2,500,1000,4596
63,2024-05-17,Clothing,North,2,400,800,3266
64,2024-06-08,Clothing,East,10,127,1270,3939
65,2024-12-17,Furniture,East,9,270,2430,2028
66,2024-02-22,Electronics,West,5,42,210,1014
67,2024-12-07,Furniture,East,3,399,1197,2809
68,2025-07-18,Sports,North,2,58,116,4870
69,2025-12-08,Furniture,North,6,318,1908,3263
70,2024-05-31,Sports,South,1,177,177,2493
71,2024-02-10,Clothing,South,4,361,1444,1421
72,2024-12-28,Books,West,10,403,4030,1633
73,2024-08-30,Furniture,South,7,32,224,1734
74,2024-12-06,Sports,South,5,101,505,4225
75,2025-12-19,Electronics,West,1,459,459,2927
76,2024-08-15,Furniture,West,6,176,1056,4360
77,2024-08-21,Furniture,North,4,224,896,2344
78,2024-10-12,Electronics,East,6,348,2088,3086
79,2025-02-13,Books,East,1,79,79,4592
80,2024-09-24,Furniture,East,1,75,75,3443
81,2025-03-20,Clothing,East,7,330,2310,3094
82,2024-04-28,Sports,South,5,42,210,3903
83,2025-03-22,Electronics,South,6,240,1440,1286
84,2025-11-11,Clothing,East,2,388,776,4686
85,2024-11-03,Books,East,7,187,1309,2648
86,2025-12-14,Clothing,South,4,235,940,3723
87,2025-01-23,Furniture,East,7,300,2100,4414
88,2024-01-01,Clothing,East,4,240,960,4218
89,2025-08-16,Books,East,8,246,1968,2811
90,2025-11-22,Furniture,West,3,357,1071,1347
91,2024-10-17,Books,East,2,439,878,4899
92,2024-08-28,Clothing,South,4,95,380,1100
93,2024-02-17,Furniture,West,10,455,4550,4147
94,2024-03-15,Sports,West,10,119,1190,3942
95,2025-12-14,Sports,West,7,144,1008,1604
96,2025-11-02,Electronics,North,7,132,924,1720
97,2025-12-13,Books,West,1,305,305,2020
98,2024-05-04,Sports,South,8,361,2888,3175
99,2025-07-26,Books,East,8,333,2664,4338
100,2025-05-31,Sports,West,3,400,1200,4528
101,2025-05-01,Sports,East,4,450,1800,3611
102,2024-10-10,Books,West,4,160,640,2801
103,2024-03-20,Clothing,South,5,191,955,2309
104,2025-07-07,Electronics,South,3,138,414,2568
105,2025-12-11,Furniture,South,2,232,464,2669
106,2024-12-04,Books,West,7,51,357,1847
107,2025-03-06,Sports,North,10,214,2140,2953
108,2024-01-07,Clothing,East,7,456,3192,4652
109,2025-03-05,Books,South,8,132,1056,2117
110,2025-03-22,Sports,North,7,192,1344,3739
111,2025-11-26,Sports,South,8,490,3920,1522
112,2025-09-29,Books,North,7,323,2261,3311
113,2025-11-09,Electronics,North,7,89,623,4550
114,2025-04-17,Furniture,North,5,214,1070,2340
115,2024-08-04,Sports,East,6,409,2454,4603
116,2025-01-23,Clothing,West,5,447,2235,1335
117,2025-04-26,Electronics,North,6,134,804,3662
118,2024-03-11,Electronics,North,4,122,488,4437
119,2024-01-21,Books,South,4,84,336,2939
120,2025-11-16,Electronics,South,8,378,3024,2049
121,2025-01-12,Furniture,North,3,179,537,1442
122,2025-08-15,Electronics,East,10,366,3660,4719
123,2025-01-19,Sports,South,2,323,646,3828
124,2025-10-04,Furniture,North,5,455,2275,3802
125,2025-09-06,Electronics,North,6,292,1752,2754
126,2025-11-08,Clothing,North,9,351,3159,2397
127,2024-01-13,Sports,West,2,241,482,4935
128,2025-01-05,Sports,South,7,110,770,4005
129,2025-06-18,Clothing,West,8,243,1944,4382
130,2025-08-29,Clothing,East,4,445,1780,4828
131,2024-03-29,Clothing,West,4,404,1616,2903
132,2025-08-06,Books,West,6,34,204,3024
133,2024-11-28,Furniture,West,4,201,804,4267
134,2024-09-21,Clothing,East,10,379,3790,4604
135,2024-10-09,Books,North,9,117,1053,1350
136,2024-09-04,Sports,West,9,408,3672,1984
137,2025-12-08,Sports,West,8,425,3400,1070
138,2024-04-05,Clothing,South,7,374,2618,1996
139,2024-11-09,Books,East,8,303,2424,3174
140,2024-12-18,Sports,East,6,379,2274,2858
141,2024-10-04,Clothing,East,4,81,324,3954
142,2024-07-16,Clothing,North,9,410,3690,3826
143,2024-07-08,Furniture,South,8,161,1288,3967
144,2025-08-26,Books,East,2,446,892,1795
145,2024-10-30,Furniture,East,3,174,522,1057
146,2025-12-26,Books,South,5,43,215,4990
147,2024-02-25,Books,East,3,346,1038,4557
148,2025-05-17,Electronics,North,10,165,1650,2922
149,2025-05-05,Sports,East,3,46,138,2034
150,2025-05-04,Electronics,North,7,271,1897,1303
151,2025-08-13,Electronics,South,3,435,1305,3305
152,2024-11-07,Electronics,South,2,305,610,4131
153,2025-03-02,Books,South,9,214,1926,2845
154,2025-03-29,Clothing,West,5,311,1555,3543
155,2024-03-02,Books,North,4,340,1360,1864
156,2024-09-27,Electronics,South,4,108,432,3260
157,2024-03-17,Furniture,North,7,250,1750,3823
158,2025-08-31,Sports,East,1,138,138,2180
159,2025-12-24,Clothing,West,2,371,742,1956
160,2024-09-27,Books,South,7,78,546,3230
161,2024-08-18,Furniture,East,3,56,168,1244
162,2024-06-18,Clothing,East,8,83,664,2919
163,2025-12-06,Clothing,West,5,276,1380,3211
164,2025-05-20,Sports,North,10,40,400,4643
165,2025-03-18,Clothing,East,1,66,66,1937
166,2025-11-21,Books,North,5,315,1575,1164
167,2024-06-28,Sports,West,5,112,560,3397
168,2025-03-22,Sports,North,8,198,1584,2672
169,2024-12-07,Clothing,North,3,188,564,2686
170,2025-12-11,Sports,East,7,436,3052,4115
171,2025-07-17,Electronics,West,2,181,362,2033
172,2024-11-27,Electronics,West,9,442,3978,1004
173,2025-11-04,Books,West,7,47,329,1768
174,2025-06-14,Clothing,West,8,409,3272,1211
175,2024-07-27,Clothing,South,5,244,1220,4607
176,2025-12-16,Sports,North,1,342,342,3493
177,2024-09-02,Furniture,East,9,27,243,3262
178,2025-02-21,Electronics,South,2,256,512,4879
179,2024-04-30,Furniture,West,5,280,1400,3889
180,2024-10-06,Sports,West,8,144,1152,2870
181,2025-07-18,Furniture,West,4,491,1964,3455
182,2025-06-04,Furniture,North,5,415,2075,4235
183,2025-02-28,Clothing,East,1,164,164,3973
184,2024-11-01,Books,West,3,248,744,3206
185,2025-05-10,Clothing,East,9,410,3690,3225
186,2025-01-21,Sports,East,4,377,1508,1978
187,2025-08-08,Sports,South,7,42,294,2303
188,2025-04-29,Sports,West,3,273,819,4951
189,2024-02-07,Furniture,East,2,467,934,4461
190,2025-03-26,Electronics,West,1,389,389,1590
191,2025-02-23,Furniture,North,8,420,3360,4969
192,2024-09-28,Clothing,West,2,456,912,2345
193,2025-11-21,Books,West,6,340,2040,3943
194,2025-05-14,Books,North,10,55,550,1961
195,2025-10-08,Clothing,South,2,242,484,1403
196,2025-10-10,Electronics,West,3,375,1125,2226
197,2024-01-30,Electronics,East,1,170,170,2468
198,2025-01-18,Sports,South,4,291,1164,2687
199,2025-08-02,Furniture,South,3,60,180,3496
200,2025-01-26,Books,South,8,487,3896,3388
201,2024-05-26,Furniture,West,5,255,1275,2045
202,2025-11-13,Electronics,West,5,366,1830,3238
203,2024-06-10,Electronics,West,6,320,1920,2225
204,2025-10-16,Sports,East,8,452,3616,2237
205,2024-07-22,Sports,West,2,141,282,2562
206,2025-08-08,Clothing,East,5,31,155,4399
207,2025-11-05,Sports,East,1,309,309,4543
208,2025-12-03,Electronics,West,5,417,2085,4272
209,2024-08-23,Books,East,4,345,1380,1778
210,2025-09-27,Clothing,South,2,482,964,3570
211,2025-10-23,Electronics,East,8,37,296,3373
212,2025-01-08,Furniture,North,5,187,935,4061
213,2025-03-01,Furniture,South,3,422,1266,3209
214,2025-01-09,Books,East,3,151,453,4743
215,2025-05-08,Clothing,East,2,259,518,4944
216,2024-03-18,Furniture,South,7,453,3171,4295
217,2025-07-24,Clothing,North,7,27,189,2083
218,2025-07-03,Electronics,West,6,364,2184,4067
219,2025-11-19,Clothing,West,6,75,450,3764
220,2024-08-27,Sports,North,10,472,4720,4863
221,2025-07-28,Clothing,South,2,345,690,4374
222,2025-04-20,Clothing,West,2,91,182,1185
223,2024-02-08,Clothing,West,2,69,138,1961
224,2025-07-04,Furniture,West,8,209,1672,3746
225,2025-12-14,Books,West,10,400,4000,3976
226,2024-06-07,Sports,North,8,335,2680,2671
227,2024-10-13,Electronics,East,4,247,988,2821
228,2024-08-29,Clothing,North,6,298,1788,4693
229,2025-10-22,Clothing,North,7,161,1127,1777
230,2024-05-05,Sports,North,4,348,1392,3619
231,2025-09-03,Electronics,North,6,144,864,1515
232,2025-08-01,Furniture,North,9,126,1134,3401
233,2024-08-09,Furniture,East,3,423,1269,4688
234,2025-09-02,Electronics,East,3,86,258,3212
235,2024-09-13,Furniture,North,1,87,87,1060
236,2025-01-01,Furniture,East,1,109,109,2086
237,2024-02-23,Furniture,West,9,78,702,4054
238,2024-03-06,Sports,West,6,282,1692,3431
239,2024-04-21,Sports,South,10,42,420,3978
240,2025-11-05,Books,East,8,349,2792,4948
241,2024-02-01,Electronics,West,7,238,1666,3810
242,2024-04-20,Sports,West,2,480,960,1330
243,2024-11-25,Books,South,2,84,168,2126
244,2025-10-01,Books,East,7,325,2275,3173
245,2024-10-28,Sports,West,2,426,852,3874
246,2024-04-27,Books,South,7,251,1757,4637
247,2024-08-21,Sports,East,8,224,1792,2703
248,2024-04-07,Clothing,West,6,360,2160,2044
249,2025-01-18,Furniture,West,2,66,132,4406
250,2024-03-28,Electronics,West,2,401,802,4026
251,2025-01-16,Furniture,North,10,307,3070,3300
252,2024-12-03,Electronics,West,6,467,2802,3725
253,2025-03-09,Electronics,East,10,179,1790,2440
254,2024-04-16,Books,South,3,356,1068,2975
255,2024-08-17,Electronics,East,9,208,1872,1470
256,2024-10-12,Books,South,7,452,3164,3297
257,2025-09-28,Books,North,10,495,4950,3694
258,2025-12-11,Clothing,North,3,159,477,3878
259,2024-11-12,Clothing,East,1,112,112,4562
260,2024-05-26,Books,West,2,92,184,4035
261,2025-10-10,Electronics,North,9,130,1170,2540
262,2025-03-05,Sports,East,3,209,627,2276
263,2024-11-28,Books,North,1,99,99,1644
264,2025-09-24,Electronics,North,5,246,1230,3711
265,2025-03-10,Sports,West,7,159,1113,1882
266,2025-06-08,Electronics,East,7,76,532,2160
267,2025-11-25,Books,West,9,361,3249,2263
268,2024-02-16,Furniture,West,10,48,480,1031
269,2024-07-28,Clothing,South,3,411,1233,2046
270,2024-10-23,Clothing,North,1,274,274,4059
271,2025-03-16,Furniture,South,7,292,2044,3882
272,2024-08-23,Books,East,2,223,446,4529
273,2024-02-13,Sports,North,8,491,3928,1318
274,2024-11-16,Books,West,10,227,2270,3906
275,2025-10-17,Sports,East,2,227,454,1085
276,2024-11-28,Furniture,West,6,65,390,2788
277,2024-04-18,Furniture,West,10,225,2250,3146
278,2024-03-21,Sports,East,6,133,798,2364
279,2024-06-21,Electronics,North,9,281,2529,1794
280,2024-12-23,Clothing,South,4,72,288,1599
281,2024-09-19,Furniture,South,10,98,980,4113
282,2025-11-02,Electronics,South,8,257,2056,4090
283,2025-07-31,Books,West,10,349,3490,3602
284,2025-10-01,Clothing,East,3,245,735,1279
285,2025-04-25,Sports,East,5,322,1610,1230
286,2024-12-26,Books,North,5,256,1280,2851
287,2024-02-08,Electronics,East,5,59,295,3640
288,2024-04-02,Books,West,8,317,2536,3270
289,2024-02-12,Sports,South,6,329,1974,2948
290,2025-05-28,Furniture,North,8,72,576,4321
291,2024-12-17,Electronics,South,1,146,146,3898
292,2025-03-24,Sports,South,6,210,1260,4759
293,2024-10-16,Sports,West,6,367,2202,3448
294,2024-02-23,Clothing,North,6,68,408,3285
295,2025-11-25,Sports,East,5,390,1950,4488
296,2025-11-03,Books,South,6,61,366,3386
297,2025-11-10,Furniture,East,5,355,1775,3860
298,2025-11-09,Sports,South,10,382,3820,4842
299,2024-03-27,Clothing,West,6,436,2616,1523
300,2025-11-17,Books,North,7,280,1960,2482
301,2024-01-19,Clothing,East,3,129,387,2399
302,2025-05-12,Furniture,South,3,99,297,1316
303,2024-10-29,Electronics,North,6,468,2808,4138
304,2025-09-24,Furniture,West,3,103,309,1740
305,2025-12-10,Books,South,8,42,336,2682
306,2025-01-08,Furniture,West,10,165,1650,4081
307,2025-04-04,Furniture,South,5,434,2170,4212
308,2025-04-25,Furniture,East,10,245,2450,2891
309,2024-10-15,Sports,West,3,438,1314,1817
310,2025-09-11,Furniture,East,1,348,348,2968
311,2025-01-15,Books,North,9,455,4095,1510
312,2024-10-18,Electronics,South,5,250,1250,4708
313,2025-06-09,Furniture,West,2,486,972,1909
314,2025-04-06,Clothing,North,7,47,329,2623
315,2025-05-29,Clothing,South,7,61,427,2535
316,2024-08-17,Electronics,East,2,449,898,3927
317,2025-10-27,Clothing,South,3,39,117,2175
318,2025-04-28,Furniture,West,8,335,2680,1021
319,2024-03-22,Electronics,East,4,447,1788,1612
320,2025-07-15,Books,West,2,417,834,2180
321,2024-08-31,Clothing,North,1,142,142,2719
322,2025-10-16,Books,West,2,76,152,4427
323,2025-05-26,Books,North,9,314,2826,1990
324,2024-05-27,Clothing,West,1,334,334,2445
325,2024-09-03,Books,West,3,360,1080,3737
326,2024-03-28,Books,East,2,289,578,3228
327,2025-06-03,Books,North,7,467,3269,2925
328,2024-02-14,Sports,East,5,402,2010,1066
329,2024-12-31,Electronics,East,4,395,1580,3691
330,2025-10-05,Electronics,East,3,42,126,2443
331,2025-07-13,Clothing,South,8,376,3008,2960
332,2025-10-08,Furniture,South,2,386,772,4179
333,2025-04-13,Electronics,East,4,42,168,4240
334,2024-07-23,Electronics,East,5,283,1415,2631
335,2025-07-10,Sports,East,1,405,405,3649
336,2024-07-14,Clothing,East,1,463,463,3685
337,2024-12-05,Clothing,North,6,243,1458,4643
338,2025-02-13,Sports,West,6,115,690,3032
339,2025-12-09,Sports,East,9,156,1404,4281
340,2024-03-25,Sports,North,7,328,2296,4368
341,2024-07-03,Books,East,6,72,432,1327
342,2024-12-01,Clothing,East,8,328,2624,3939
343,2025-03-12,Furniture,West,6,248,1488,1173
344,2024-12-27,Books,West,5,347,1735,4241
345,2024-02-28,Electronics,West,6,282,1692,4281
346,2025-11-26,Furniture,North,3,454,1362,3488
347,2025-11-25,Sports,North,3,54,162,1966
348,2025-10-22,Clothing,East,7,310,2170,1132
349,2025-09-11,Furniture,West,6,210,1260,2818
350,2024-03-19,Books,South,9,207,1863,2630
351,2024-11-17,Clothing,South,2,33,66,4013
352,2024-07-09,Sports,West,9,80,720,2072
353,2024-09-23,Sports,South,10,166,1660,3842
354,2025-05-17,Furniture,North,3,456,1368,1303
355,2025-04-07,Furniture,West,2,434,868,3793
356,2024-11-23,Clothing,North,9,297,2673,2189
357,2024-11-03,Furniture,South,6,280,1680,1918
358,2024-05-04,Furniture,South,4,424,1696,3023
359,2024-01-27,Clothing,East,8,431,3448,3259
360,2024-05-12,Books,North,2,178,356,2630
361,2025-05-05,Books,West,7,441,3087,3354
362,2024-03-16,Furniture,East,2,250,500,2908
363,2025-11-27,Books,East,3,469,1407,4395
364,2025-07-18,Books,South,3,241,723,3059
365,2024-02-26,Electronics,South,5,104,520,1663
366,2024-11-26,Furniture,East,9,478,4302,2163
367,2024-03-21,Clothing,South,9,160,1440,1512
368,2025-10-02,Clothing,North,9,348,3132,1690
369,2025-08-29,Books,South,3,357,1071,3557
370,2025-09-11,Clothing,North,1,61,61,1186
371,2025-10-18,Books,East,4,412,1648,3343
372,2025-03-02,Books,North,8,475,3800,3568
373,2025-07-12,Clothing,East,8,145,1160,4296
374,2025-12-02,Sports,East,8,57,456,3820
375,2024-03-02,Furniture,West,7,267,1869,2902
376,2024-07-27,Clothing,South,6,461,2766,3942
377,2024-11-22,Clothing,West,3,409,1227,2517
378,2025-06-11,Books,North,6,143,858,2910
379,2024-05-05,Clothing,West,4,92,368,1396
380,2024-02-21,Clothing,West,10,234,2340,2016
381,2024-06-12,Clothing,East,4,410,1640,1652
382,2025-05-25,Books,West,8,470,3760,2263
383,2025-05-24,Electronics,North,7,278,1946,2872
384,2024-09-03,Furniture,East,1,45,45,2152
385,2025-05-21,Books,West,5,294,1470,1033
386,2024-04-20,Sports,South,5,392,1960,2498
387,2025-02-16,Clothing,North,7,46,322,3335
388,2025-07-29,Furniture,East,9,167,1503,1301
389,2025-01-30,Books,West,9,163,1467,4380
390,2025-09-30,Books,North,3,69,207,2613
391,2025-01-17,Clothing,East,3,121,363,3467
392,2025-06-05,Sports,North,1,39,39,1561
393,2025-12-31,Clothing,West,9,253,2277,1610
394,2025-09-12,Books,South,6,496,2976,3511
395,2024-11-22,Furniture,West,10,398,3980,4451
396,2024-11-02,Books,East,9,444,3996,3087
397,2025-06-29,Sports,East,8,437,3496,1068
398,2025-01-12,Clothing,North,7,318,2226,2260
399,2025-12-05,Electronics,West,5,355,1775,4206
400,2025-08-15,Books,South,1,318,318,2967
401,2024-06-23,Books,West,3,440,1320,3788
402,2024-09-05,Electronics,North,4,29,116,2806
403,2024-11-17,Sports,South,7,373,2611,1835
404,2025-02-24,Books,West,1,381,381,1565
405,2025-06-15,Furniture,East,8,289,2312,2543
406,2024-11-17,Furniture,West,9,195,1755,3237
407,2024-12-28,Clothing,West,4,146,584,2142
408,2025-07-25,Clothing,South,5,414,2070,2183
409,2025-12-22,Furniture,West,6,265,1590,2428
410,2025-07-27,Clothing,East,2,313,626,3771
411,2025-07-10,Sports,West,6,415,2490,4295
412,2024-05-29,Clothing,North,5,385,1925,1323
413,2024-12-20,Sports,East,8,129,1032,1827
414,2025-07-05,Clothing,East,3,75,225,3521
415,2025-08-23,Furniture,South,1,362,362,4707
416,2025-06-27,Furniture,South,1,71,71,2692
417,2024-12-04,Sports,North,3,22,66,4950
418,2025-07-17,Furniture,West,8,264,2112,3664
419,2024-07-23,Clothing,East,5,350,1750,1242
420,2024-04-01,Books,South,9,398,3582,3961
421,2024-02-08,Furniture,West,3,498,1494,4766
422,2024-02-07,Sports,West,3,499,1497,4067
423,2024-10-23,Electronics,North,5,310,1550,3468
424,2024-04-19,Clothing,East,8,348,2784,3225
425,2025-06-20,Sports,South,9,259,2331,2117
426,2024-07-16,Electronics,East,3,394,1182,2879
427,2025-10-25,Clothing,South,1,397,397,2380
428,2024-10-29,Books,South,3,332,996,4506
429,2025-10-16,Sports,West,9,187,1683,1355
430,2025-02-14,Electronics,South,3,264,792,2325
431,2024-09-11,Electronics,East,7,140,980,2829
432,2024-09-30,Clothing,East,10,390,3900,3346
433,2024-01-12,Clothing,East,4,51,204,3735
434,2024-05-01,Sports,East,3,227,681,3810
435,2025-05-29,Clothing,North,5,208,1040,3517
436,2024-08-14,Furniture,South,8,98,784,2863
437,2025-09-12,Clothing,West,9,487,4383,2928
438,2025-07-04,Furniture,South,10,467,4670,4225
439,2024-03-24,Books,West,9,380,3420,2481
440,2024-03-20,Books,North,1,444,444,3243
441,2025-06-01,Furniture,South,3,187,561,4499
442,2025-06-16,Sports,North,4,387,1548,3388
443,2025-05-15,Electronics,West,1,252,252,1540
444,2025-06-09,Sports,West,10,49,490,3288
445,2025-04-18,Clothing,North,7,150,1050,4344
446,2024-01-04,Furniture,North,1,236,236,2411
447,2025-12-18,Electronics,North,2,498,996,2933
448,2024-02-02,Clothing,West,3,413,1239,1554
449,2025-10-18,Sports,East,7,249,1743,4561
450,2025-01-21,Sports,North,9,88,792,3676
451,2024-12-22,Electronics,South,9,221,1989,3166
452,2024-05-10,Furniture,North,1,172,172,2896
453,2025-11-20,Books,West,9,214,1926,4372
454,2024-08-23,Furniture,West,6,99,594,2129
455,2024-07-12,Electronics,North,7,334,2338,4137
456,2024-01-17,Furniture,South,2,71,142,3432
457,2024-02-04,Sports,North,4,399,1596,1181
458,2025-02-15,Sports,South,9,131,1179,4089
459,2024-02-27,Furniture,East,4,437,1748,4753
460,2025-08-12,Clothing,East,4,174,696,4589
461,2024-05-26,Books,South,7,173,1211,2127
462,2024-03-03,Books,South,7,304,2128,3030
463,2024-02-18,Clothing,West,9,183,1647,3852
464,2025-03-02,Sports,South,5,212,1060,1753
465,2025-07-04,Sports,South,4,173,692,4512
466,2025-12-25,Furniture,West,1,307,307,2690
467,2025-03-02,Books,South,7,144,1008,2044
468,2024-07-27,Clothing,North,8,453,3624,2519
469,2024-04-04,Books,South,1,157,157,2544
470,2025-11-20,Books,North,2,116,232,4295
471,2025-08-24,Books,South,8,126,1008,4561
472,2024-12-06,Clothing,North,4,499,1996,1778
473,2024-04-30,Sports,South,10,380,3800,1837
474,2025-02-10,Furniture,East,5,214,1070,2909
475,2025-06-30,Clothing,East,5,204,1020,3100
476,2025-05-24,Sports,North,8,409,3272,4439
477,2024-11-23,Furniture,East,6,231,1386,1187
478,2025-07-30,Furniture,South,1,153,153,3266
479,2025-08-21,Books,West,5,98,490,1803
480,2024-12-03,Furniture,West,10,446,4460,2006
481,2025-05-26,Books,East,5,410,2050,4365
482,2025-05-15,Sports,West,3,395,1185,4256
483,2024-12-26,Furniture,South,9,270,2430,1753
484,2025-07-09,Electronics,North,2,438,876,3737
485,2024-02-19,Electronics,West,3,451,1353,3583
486,2024-08-24,Electronics,South,1,131,131,3071
487,2025-04-11,Clothing,North,10,346,3460,3731
488,2025-09-23,Sports,West,1,23,23,3179
489,2025-07-18,Sports,North,1,291,291,3958
490,2024-10-08,Books,East,1,277,277,4330
491,2025-12-15,Sports,South,2,490,980,1394
492,2025-06-20,Furniture,South,4,337,1348,3156
493,2024-09-15,Clothing,East,7,60,420,2528
494,2025-02-19,Sports,South,4,173,692,3801
495,2024-03-23,Electronics,North,7,214,1498,2544
496,2025-07-19,Sports,North,1,379,379,1701
497,2024-03-25,Sports,West,6,309,1854,4514
498,2024-04-07,Books,North,4,128,512,4691
499,2025-12-09,Books,West,5,43,215,4785
500,2024-03-17,Clothing,North,3,495,1485,4483
